fixture_id,date,referee,home_team,away_team,home_goals,away_goals,home_corners,away_corners,total_corners,home_cards,away_cards,total_cards
967074,2022-10-24 01:06:00+00:00,L. Santander,Monterrey,CF Pachuca,0,1,8,2,10,2,2,4
968247,2022-10-28 01:06:00+00:00,M. Ortíz,Toluca,CF Pachuca,1,5,10,4,14,3,1,4
968248,2022-10-31 01:36:00+00:00,A. Escobedo,CF Pachuca,Toluca,3,1,7,3,10,3,4,7
973610,2023-01-07 01:00:00+00:00,F. Hernández,Necaxa,Atletico San Luis,2,3,6,7,13,2,1,3
973612,2023-01-07 23:00:00+00:00,V. Cáceres,Club America,Club Queretaro,0,0,15,3,18,0,3,3
973614,2023-01-08 03:10:00+00:00,A. Escobedo,Monterrey,Guadalajara Chivas,0,1,9,1,10,2,5,7
973615,2023-01-08 18:00:00+00:00,Ó. Macías,U.N.A.M. - Pumas,FC Juarez,2,1,5,2,7,0,5,5
973616,2023-01-09 01:00:00+00:00,Ó. Mejía,Santos Laguna,Tigres UANL,0,3,10,6,16,3,2,5
973618,2023-01-09 03:10:00+00:00,D. Quintero,Club Tijuana,Cruz Azul,1,1,6,6,12,3,3,6
973617,2023-01-10 03:10:00+00:00,D. Montaño,CF Pachuca,Puebla,5,1,12,0,12,0,1,1
973619,2023-01-13 03:00:00+00:00,I. Lopez,Atlas,Mazatlán,2,1,8,0,8,3,2,5
973620,2023-01-14 01:05:00+00:00,D. Quintero,Atletico San Luis,Guadalajara Chivas,0,0,2,9,11,5,1,6
973621,2023-01-14 03:05:00+00:00,J. Camacho,Puebla,Club Queretaro,2,0,4,1,5,1,4,5
973622,2023-01-14 23:00:00+00:00,C. Ramos,Cruz Azul,Monterrey,2,3,6,9,15,6,2,8
973623,2023-01-15 01:05:00+00:00,F. Guerrero,Toluca,Club America,2,2,8,3,11,2,2,4
973624,2023-01-15 03:10:00+00:00,L. Santander,Santos Laguna,U.N.A.M. - Pumas,3,0,7,10,17,1,1,2
973625,2023-01-15 01:05:00+00:00,V. Cáceres,FC Juarez,Club Tijuana,3,0,4,3,7,4,2,6
973626,2023-01-16 01:05:00+00:00,M. Ortíz,Tigres UANL,CF Pachuca,4,1,5,3,8,2,2,4
973627,2023-01-17 03:05:00+00:00,B. González,Leon,Necaxa,2,1,4,1,5,1,1,2
974323,2023-01-21 03:00:00+00:00,C. Ramos,Mazatlán,Santos Laguna,1,2,7,9,16,2,2,4
974324,2023-01-21 03:10:00+00:00,A. Escobedo,Club Tijuana,Tigres UANL,1,1,4,4,8,3,3,6
